zpid,description_length,waterfront_linear_ft,dock_linear_ft,no_fixed_bridges,waterfront_type,any_length
2079720811,36 feet of dockage,,36,FALSE,ocean; gulf; waterfront,36
2079774966,,,,FALSE,ocean,
2081063618,,,,FALSE,,
2081949643,,,,FALSE,,
2082208387,,,,FALSE,gulf; waterfront,
2083168994,acre and 100 feet of frontage,100,,TRUE,river; canal; waterfront,100
2083851761,Dock Length: 240,,240,FALSE,canal; gulf; waterfront,240
2084652703,75’ WF w ocean,75,,TRUE,ocean; canal; waterfront,75
2085250777,features a 52 Ft boat slip,,52,TRUE,ocean; canal; waterfront,52
2085477893,Dock Length: 33,,33,FALSE,bay; canal; waterfront,33
2087664037,,,,FALSE,ocean; lake,
2088364738,Currently a 94 foot vessel calls,,,FALSE,ocean; lagoon,
2091712125,Dock Length: 50,,50,FALSE,ocean; canal; waterfront,50
2091898757,property offers 25 feet of private,,,FALSE,bay; ocean; canal,
2092068310,,,,FALSE,lake,
2094393836,,,,FALSE,,
2097209802,,,,FALSE,ocean,
2097450517,,,,FALSE,,
2097535744,,,,FALSE,,
2097848829,,,,FALSE,,
2098522675,,,,FALSE,lake,
2100958397,,,,FALSE,river,
2102167839,here with 830 ft on the,,,FALSE,lake; waterfront,
2102239881,,,,FALSE,,
2104646764,,,,FALSE,,
2107542563,,,,FALSE,,
2108873227,,,,FALSE,lake; waterfront,
2110129534,The 175 slip marina offers,,175,FALSE,ocean,175
2112899635,11 ft ceilings on,,,FALSE,intracoastal; ocean; waterfront,
2113380658,,,,FALSE,intracoastal; ocean; river; waterfront,
2117772945,,,,FALSE,,
2118935048,,,,FALSE,,
2120097637,,,,FALSE,,
2120214892,,,,FALSE,,
2126825775,,,,FALSE,,
2129941022,,,,FALSE,,
2131085361,,,,FALSE,,
2131410154,,,,FALSE,,
2132916418,up to 28ft on the,28,,FALSE,ocean; sound; waterfront,28
2133797032,,,,FALSE,,
2133958922,no fixed bridges,,,TRUE,intracoastal; ocean,
2134422851,,,,FALSE,,
2137123325,,,,FALSE,,
2141008884,,,,FALSE,,
2142487908,,,,FALSE,intracoastal; ocean,
2146019593,,,,FALSE,river,
2146027804,,,,FALSE,,
2146342503,,,,FALSE,intracoastal; ocean,
243813475,,,,FALSE,ocean; lake; waterfront,
243882249,,,,FALSE,ocean; lake; waterfront,
244560617,,,,FALSE,,
244560632,,,,FALSE,lake,
245097462,Dock Length: 106,,106,FALSE,ocean; canal; waterfront,106
246617011,,,,FALSE,,
246618060,,,,FALSE,,
246618248,,,,FALSE,ocean; waterfront,
247338844,Dock Length: 84,,84,FALSE,ocean; canal; waterfront,84
247339047,Dock Length: 75,,75,FALSE,ocean; canal; waterfront,75
247357015,lot with 50ft of water-frontage,50,,FALSE,bay; ocean; canal; waterfront,50
247357160,will appreciate 60 feet of dockage,,60,FALSE,canal; sound; waterfront,60
247357173,to your 55 foot dock and,,55,FALSE,ocean; waterfront,55
247357237,,,,FALSE,ocean; canal; lake; waterfront,
247483007,,,,FALSE,intracoastal; ocean; waterfront,
251155826,nA 40 foot slip,,40,FALSE,ocean; river; waterfront,40
251461254,Lauderdale-by-the-Sea offers 100 feet on a,,,TRUE,ocean; canal,
251461430,,,,FALSE,ocean,
251461448,,,,FALSE,ocean,
251461460,,,,FALSE,intracoastal; ocean,
251461461,by private 59ft and 33ft,,,FALSE,ocean,
251461499,,,,FALSE,intracoastal; ocean,
251461888,no fixed bridges,,,TRUE,intracoastal; ocean; lake; waterfront,
251462344,measuring 120 ft wide and,,,FALSE,ocean,
251462409,,,,FALSE,intracoastal; ocean,
251462484,no fixed bridges,,,TRUE,ocean; canal; waterfront,
251462901,,,,FALSE,ocean,
251462941,,,,FALSE,,
251463020,,,,FALSE,,
252179312,,,,FALSE,ocean; canal; waterfront,
252179391,,,,FALSE,ocean; canal; waterfront,
252193192,,,,FALSE,bay; canal; waterfront,
252193243,Dock Length: 75,,75,FALSE,bay; ocean; canal; waterfront,75
252193286,,,,FALSE,canal; waterfront,
252193325,Dock Length: 30,,30,FALSE,canal; waterfront,30
295460480,,,,FALSE,intracoastal; ocean; waterfront,
299146796,,,,FALSE,,
299146843,,,,FALSE,,
299146891,,,,FALSE,lake,
299148606,,,,FALSE,ocean,
299148609,,,,FALSE,ocean,
299148626,,,,FALSE,ocean,
299148631,,,,FALSE,ocean,
299148641,,,,FALSE,ocean,
299148660,,,,FALSE,ocean,
299148677,,,,FALSE,ocean,
299148678,,,,FALSE,ocean,
299148680,,,,FALSE,ocean,
299148690,,,,FALSE,intracoastal,
299148691,,,,FALSE,intracoastal; canal,
299148695,,,,FALSE,ocean; canal,
299148703,,,,FALSE,intracoastal,
299148708,,,,FALSE,intracoastal; waterfront,
299148741,,,,FALSE,ocean,
299148743,,,,FALSE,ocean,
299148779,,,,FALSE,intracoastal; ocean,
299148791,no fixed bridges,,,TRUE,intracoastal; ocean,
299148807,,,,FALSE,intracoastal; ocean; waterfront,
299148814,,,,FALSE,intracoastal; ocean; waterfront,
299148815,,,,FALSE,intracoastal; ocean; canal,
299148822,,,,FALSE,ocean,
299148823,no fixed bridges,,,TRUE,intracoastal; ocean; waterfront,
299148847,,,,FALSE,intracoastal; waterfront,
299148853,,,,FALSE,intracoastal; ocean; waterfront,
299148861,,,,FALSE,ocean; waterfront,
299148874,,,,FALSE,intracoastal; ocean,
299149010,,,,FALSE,intracoastal; ocean; sound,
299149018,,,,FALSE,intracoastal; ocean,
299149201,,,,FALSE,intracoastal; ocean,
299149575,,,,FALSE,,
299149921,,,,FALSE,ocean; waterfront,
299150188,,,,FALSE,,
299150196,,,,FALSE,,
299150218,,,,FALSE,bay; ocean,
299150299,,,,FALSE,ocean; canal; waterfront,
306090617,,,,FALSE,bay; gulf; waterfront,
306091044,Dock Length: 70,,70,FALSE,bay; ocean; canal; waterfront,70
306091445,,,,FALSE,ocean; canal; waterfront,
306091447,,,,FALSE,canal; waterfront,
306091709,,,,FALSE,waterfront,
306094884,Dock Length: 150,,150,FALSE,bay; gulf; sound; waterfront,150
306094900,,,,FALSE,bay; ocean; waterfront,
306094914,Dock Length: 40,,40,FALSE,canal; waterfront,40
306108169,,,,FALSE,ocean,
306108259,,,,FALSE,intracoastal; ocean,
306108292,a majestic 450 feet of pristine,,,FALSE,ocean,
306108332,access to 451 feet of private,,,FALSE,ocean,
306108431,,,,FALSE,ocean,
306109402,no fixed bridges,,,TRUE,intracoastal; ocean; river; waterfront,
306109414,,,,FALSE,intracoastal; ocean; waterfront,
306109417,,,,FALSE,ocean,
306109427,Canal Width 121 Feet Or More,100,,FALSE,intracoastal; ocean; canal; lake; waterfront,100
326162955,,,,FALSE,bay; ocean; waterfront,
326163008,,,,FALSE,bay; ocean; canal; waterfront,
326163093,Dock Length: 50,,50,FALSE,canal; waterfront,50
331552330,,,,FALSE,waterfront,
333137843,,,,FALSE,ocean,
333137975,,,,FALSE,river,
333138237,,,,FALSE,,
333138448,,,,FALSE,,
333138510,,,,FALSE,,
333498013,,,,FALSE,,
337066171,,,,FALSE,sound,
